"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000211650.2",168.291326345356,2.19067849311161,0.495826871098621,4.41823269533103,9.95112523928501e-06,0.00461661782725059
"ENSG00000113196.2",3.5438173350598,2.43609311746107,0.551532320827051,4.41695441131722,1.00101332157454e-05,0.00461661782725059
"ENSG00000204071.8",19.9337706859014,1.53778400287924,0.350550793556121,4.3867651454426,1.15048896972885e-05,0.00523330640120767
"ENSG00000112183.13",48.4653901653009,1.35425115269362,0.309840994266524,4.37079398063348,1.23795556246907e-05,0.00553832068249818
"ENSG00000254585.2",108.192919603897,1.08795058285512,0.249175768963613,4.36619735289748,1.26428258202188e-05,0.00553832068249818
"ENSG00000121742.14",183.733842729986,-1.92632962738864,0.441275371270052,-4.36536854944882,1.26908602041995e-05,0.00553832068249818
"ENSG00000141639.10",169.089704961659,1.64631252747805,0.377414692976019,4.36207852560381,1.28832609854866e-05,0.00553832068249818
"ENSG00000171951.4",4659.91034853607,1.63177793653295,0.374265502651379,4.35994748373301,1.30093661758375e-05,0.00553832068249818
"ENSG00000168481.7",79.0477105585639,1.53752589830369,0.353445184823983,4.35011131660878,1.36068440232921e-05,0.00571935269161315
"ENSG00000133958.12",220.053590580222,1.52301940577165,0.351313464091615,4.33521501861505,1.45617714533774e-05,0.0060442272860106
"ENSG00000221866.8",341.413890830893,1.25555574678738,0.290193363168887,4.32661771818907,1.51416413984685e-05,0.00616165320564254
"ENSG00000280434.1",56.2220252442506,1.23595705493999,0.285761108297913,4.32514089234103,1.52434403719626e-05,0.00616165320564254
"ENSG00000100867.13",429.720983034688,1.46522989890225,0.338948519483197,4.32286856168105,1.54013496376658e-05,0.00616165320564254
"ENSG00000131979.17",1199.1546911274,0.977676756731876,0.226366027868659,4.31900831559027,1.56731877237022e-05,0.00619576037563398
"ENSG00000204065.2",64.8399493116105,1.4029260915741,0.325226187947462,4.31369349568103,1.60549493938197e-05,0.00623013858669198
"ENSG00000255562.2",2.08703065687512,-1.85979546279464,0.431248025899527,-4.31258893050085,1.61353947616548e-05,0.00623013858669198
"ENSG00000103154.8",140.670625000794,1.31153057566546,0.304885297023363,4.30171801812063,1.69478905538669e-05,0.00646863969806555
"ENSG00000100285.9",132.676951686707,1.03453908494985,0.24098991320566,4.29287297210225,1.76375923926448e-05,0.0066453655383804
"ENSG00000166922.7",6878.92732998302,1.56424071629839,0.364635834444896,4.28987106733411,1.78776876736269e-05,0.0066453655383804
"ENSG00000164106.6",197.531584481861,1.41154190874758,0.329167538008925,4.28821723212971,1.80112900817393e-05,0.0066453655383804
"ENSG00000117601.12",24.3250670046158,-1.78060992536004,0.415938211264783,-4.28094817243544,1.86098699098543e-05,0.00679076198051234
"ENSG00000182050.12",37.4936963492715,1.56025675004086,0.365057425409736,4.27400359899445,1.91993933845567e-05,0.00684490770738788
"ENSG00000013293.5",126.393556588663,1.59448417028459,0.373143348304821,4.27311428041872,1.92761597822115e-05,0.00684490770738788
"ENSG00000130477.13",360.241535152592,1.29497391947164,0.303133784220402,4.27195511315917,1.93766585705734e-05,0.00684490770738788
"ENSG00000137860.10",57.0619076743749,-1.72372383501161,0.404270338144438,-4.26379002457448,2.00988328315673e-05,0.00700375866576308
"ENSG00000256377.4",41.8129285626726,-1.76900430479063,0.415051071528509,-4.26213646016119,2.02481729781743e-05,0.00700375866576308
