"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"RP11-309M23.1",2.03902725585319,1.95008601788289,0.441664647423964,4.41530928331459,1.00865673392882e-05,0.0026990847274548

"AKR7L",198.313533977775,-0.933176672118908,0.212902956393621,-4.38310809735128,1.16998022607286e-05,0.00310592607792946

"RFPL2",7.98334004664345,1.2692702410446,0.289853216740054,4.37901036710905,1.19219461134241e-05,0.00313997776021987

"CNTFR",93.040925405776,1.44709372157424,0.330636395228984,4.37669216836231,1.20493959557363e-05,0.00314875191658926

"SPINK5",466.414027760865,-1.15897705134037,0.264965427276747,-4.37406896157006,1.21951826272553e-05,0.00316214467983769

"ARSDP1",2.71457908728465,-1.7818812127609,0.407613240691038,-4.37149983091821,1.23395945910632e-05,0.00317497768828056

"OXTR",295.797198400517,0.951671746046444,0.217882648567827,4.36781796210904,1.25494020905852e-05,0.00320431259945026

"HS3ST4",4.293733568997,1.70181058158749,0.390030561936676,4.36327495244793,1.28129740739625e-05,0.00324682704393917

"CTD-2369P2.8",12.7611912415549,0.901621898102955,0.206895509075522,4.35786113546737,1.31339668947731e-05,0.00330314329822005

"GPR119",52.7455787180085,1.83919335699491,0.423131407148586,4.34662453772679,1.38248570498016e-05,0.00345095256312549

"KCTD8",17.7179086623518,1.41046104420946,0.324969740625374,4.34028424152711,1.42298528100936e-05,0.00350963426549936

"RPE65",6.15954411079141,1.68994766156206,0.389418620926746,4.33966834338915,1.42697916262941e-05,0.00350963426549936

"RIMS4",17.4718062313069,1.16469984440654,0.26932490666039,4.32451591220708,1.52867170433794e-05,0.00367747235416203

"BEST3",26.7577682624937,1.26480539378248,0.292501352980214,4.32410100293806,1.53155120532179e-05,0.00367747235416203

"CELF3",526.579543721518,1.51223249686569,0.349781657421572,4.32336134494062,1.53669731752813e-05,0.00367747235416203

"IAPP",1087.04740314898,1.97134087844356,0.456011930177255,4.32300286020431,1.53919737386076e-05,0.00367747235416203

"DEFA5",19.1520064750051,4.10466525497744,0.951136344394342,4.31553822873963,1.59214494219332e-05,0.00377699689159038

"RP11-384P7.7",23.3264174284552,1.24293169321726,0.288340558491526,4.31063773934458,1.62784394741458e-05,0.00383448959134298

"NEFH",145.668972681451,0.86009821742475,0.199905232025436,4.3025297972957,1.68858953081744e-05,0.00394976442072116

"STAP1",69.1333699797041,1.17905841764528,0.274161577264672,4.30059685754957,1.70338698773144e-05,0.00395670773282144

"PCSK1",1337.54294859196,1.40048655616497,0.32626605011519,4.2924679281541,1.7669807960966e-05,0.00406898160430392

"ENSG00000279418.1",3.50530561240828,-1.26409987357155,0.294570562167221,-4.29133130028775,1.77605104555704e-05,0.00406898160430392

"GABRA1",4.83158783597118,1.92027609548462,0.448274828350628,4.28370270655177,1.83808480572149e-05,0.00415232329600247

"FIGF",37.1797541936144,1.1141575618206,0.260160961906994,4.28257011987411,1.847468845819e-05,0.00415232329600247

"SLC26A5",19.2575603177685,-0.940031255169386,0.219515238753665,-4.28230523086494,1.84967015786531e-05,0.00415232329600247

"CGA",4.83785538402459,1.5318769143094,0.358001899753311,4.27896308752824,1.87765995599745e-05,0.00418705652454391

"RP11-1029J19.5",14.2030660928042,-1.20399742683312,0.281524689890311,-4.27670279044521,1.89681769434695e-05,0.00420176523564313

"MTMR7",122.878159408369,0.832311209886674,0.194850419855431,4.27153921712975,1.94128378813129e-05,0.00424923773013456

"LCT",12.8553277850214,1.75417138685599,0.410691113795027,4.27126696423112,1.94365563308496e-05,0.00424923773013456

"FOXH1",36.6052062834632,-1.19521620152501,0.279994261464122,-4.26871677753354,1.96600705779741e-05,0.00425894942507242

"UNC79",245.486629461531,1.28176439614873,0.300329468678866,4.26786089885601,1.9735632182912e-05,0.00425894942507242

"PAX5",286.345602933823,1.65391060452855,0.387698149408255,4.26597497835088,1.99031087496174e-05,0.00426755823439714

"SLC38A4",312.402566990563,1.19075163635751,0.280084288577985,4.25140461252959,2.12433985289813e-05,0.0045259263528401

"TFAP4",671.074616205973,-0.368422977076301,0.0867693181304869,-4.24600521260584,2.17615569477744e-05,0.00460697669839308

"EPHB6",2279.34958593522,-0.927970474893363,0.21876617747902,-4.24183704074803,2.21697645161425e-05,0.00466387706478271

"RP11-416A17.6",3.82040893092207,-0.803055873962451,0.189520130583553,-4.23731173828213,2.26211955465748e-05,0.00472910231148363

"C1orf173",35.102439976047,1.36075453149247,0.321310577450605,4.23501318347249,2.28538297598641e-05,0.00474609003638939

"TSPAN11",808.442017780236,0.976206625368642,0.230640566990379,4.23258856023088,2.31016898880732e-05,0.00474609003638939

"GRIK5",382.679684488971,1.11096553855027,0.262565356115463,4.23119620572381,2.32451791503016e-05,0.00474609003638939

"C2orf40",129.495519148144,0.987008415508587,0.233298624515584,4.2306653867248,2.3300105737671e-05,0.00474609003638939

